BudgetBookVersion	Ministry	HeadNumber	HeadName	BudgetYear	DataVersion	DataValue
2024	MINISTRY OF NATIONAL SECURITY	25	DEPT. OF CORRECTIONS	2023	ORIGINAL	0
2024	MINISTRY OF NATIONAL SECURITY	25	DEPT. OF CORRECTIONS	2023	REVISED	0
2024	MINISTRY OF NATIONAL SECURITY	25	DEPT. OF CORRECTIONS	2024	ESTIMATE	0
2024	MINISTRY OF NATIONAL SECURITY	45	FIRE SERVICES	2022	ACTUAL	280
2024	MINISTRY OF NATIONAL SECURITY	45	FIRE SERVICES	2023	ORIGINAL	320
2024	MINISTRY OF NATIONAL SECURITY	45	FIRE SERVICES	2023	REVISED	131
2024	MINISTRY OF NATIONAL SECURITY	45	FIRE SERVICES	2024	ESTIMATE	165
2024	MINISTRY OF YOUTH, SOCIAL DEVELOPMENT & SENIORS	86	MIN. OF YOUTH, SOCIAL DEV. & SENIORS HQ	2022	ACTUAL	0
2024	MINISTRY OF YOUTH, SOCIAL DEVELOPMENT & SENIORS	86	MIN. OF YOUTH, SOCIAL DEV. & SENIORS HQ	2023	ORIGINAL	5
2024	MINISTRY OF YOUTH, SOCIAL DEVELOPMENT & SENIORS	86	MIN. OF YOUTH, SOCIAL DEV. & SENIORS HQ	2023	REVISED	0
2024	MINISTRY OF YOUTH, SOCIAL DEVELOPMENT & SENIORS	86	MIN. OF YOUTH, SOCIAL DEV. & SENIORS HQ	2024	ESTIMATE	634
2024	MINISTRY OF YOUTH, SOCIAL DEVELOPMENT & SENIORS	23	CHILD & FAMILY SERVICES	2022	ACTUAL	164
2024	MINISTRY OF YOUTH, SOCIAL DEVELOPMENT & SENIORS	23	CHILD & FAMILY SERVICES	2023	ORIGINAL	207
2024	MINISTRY OF YOUTH, SOCIAL DEVELOPMENT & SENIORS	23	CHILD & FAMILY SERVICES	2023	REVISED	175
2024	MINISTRY OF YOUTH, SOCIAL DEVELOPMENT & SENIORS	23	CHILD & FAMILY SERVICES	2024	ESTIMATE	192
2024	MINISTRY OF HOME AFFAIRS	93	MIN. OF HOME AFFAIRS HQ	2022	ACTUAL	70
2024	MINISTRY OF HOME AFFAIRS	93	MIN. OF HOME AFFAIRS HQ	2023	ORIGINAL	12
2024	MINISTRY OF HOME AFFAIRS	93	MIN. OF HOME AFFAIRS HQ	2023	REVISED	13
