BudgetBookVersion	Ministry	HeadNumber	HeadName	BudgetYear	DataVersion	DataValue
2024	MINISTRY OF LEGAL AFFAIRS	88	NATIONAL DRUG CONTROL	2022	ACTUAL	3761
2024	MINISTRY OF LEGAL AFFAIRS	88	NATIONAL DRUG CONTROL	2023	ORIGINAL	4064
2024	MINISTRY OF LEGAL AFFAIRS	88	NATIONAL DRUG CONTROL	2023	REVISED	4064
2024	MINISTRY OF LEGAL AFFAIRS	88	NATIONAL DRUG CONTROL	2024	ESTIMATE	4054
2024	MINISTRY OF FINANCE	10	MIN. OF FINANCE HQ	2022	ACTUAL	9146
2024	MINISTRY OF FINANCE	10	MIN. OF FINANCE HQ	2023	ORIGINAL	6790
2024	MINISTRY OF FINANCE	10	MIN. OF FINANCE HQ	2023	REVISED	13112
2024	MINISTRY OF FINANCE	10	MIN. OF FINANCE HQ	2024	ESTIMATE	7179
2024	MINISTRY OF FINANCE	11	ACCOUNTANT GENERAL	2022	ACTUAL	79003
2024	MINISTRY OF FINANCE	11	ACCOUNTANT GENERAL	2023	ORIGINAL	82209
2024	MINISTRY OF FINANCE	11	ACCOUNTANT GENERAL	2023	REVISED	82945
2024	MINISTRY OF FINANCE	11	ACCOUNTANT GENERAL	2024	ESTIMATE	86407
2024	MINISTRY OF FINANCE	28	SOCIAL INSURANCE	2022	ACTUAL	3369
2024	MINISTRY OF FINANCE	28	SOCIAL INSURANCE	2023	ORIGINAL	3532
2024	MINISTRY OF FINANCE	28	SOCIAL INSURANCE	2023	REVISED	3154
2024	MINISTRY OF FINANCE	28	SOCIAL INSURANCE	2024	ESTIMATE	3000
2024	MINISTRY OF FINANCE	38	OFFICE OF THE TAX COMMISSIONER	2022	ACTUAL	3488
2024	MINISTRY OF FINANCE	38	OFFICE OF THE TAX COMMISSIONER	2023	ORIGINAL	3901
2024	MINISTRY OF FINANCE	38	OFFICE OF THE TAX COMMISSIONER	2023	REVISED	3751
2024	MINISTRY OF FINANCE	38	OFFICE OF THE TAX COMMISSIONER	2024	ESTIMATE	4051
2024	MINISTRY OF FINANCE	39	REGISTRAR OF COMPANIES	2022	ACTUAL	6311
2024	MINISTRY OF FINANCE	39	REGISTRAR OF COMPANIES	2023	ORIGINAL	9540
2024	MINISTRY OF FINANCE	39	REGISTRAR OF COMPANIES	2023	REVISED	7540
2024	MINISTRY OF FINANCE	39	REGISTRAR OF COMPANIES	2024	ESTIMATE	12043
2024	MINISTRY OF FINANCE	58	DEBT & LOAN GUARANTEES	2022	ACTUAL	140648
2024	MINISTRY OF FINANCE	58	DEBT & LOAN GUARANTEES	2023	ORIGINAL	130400
2024	MINISTRY OF FINANCE	58	DEBT & LOAN GUARANTEES	2023	REVISED	131387
2024	MINISTRY OF FINANCE	58	DEBT & LOAN GUARANTEES	2024	ESTIMATE	127777
2024	MINISTRY OF EDUCATION	16	MIN. OF EDUCATION HQ	2022	ACTUAL	5512
2024	MINISTRY OF EDUCATION	16	MIN. OF EDUCATION HQ	2023	ORIGINAL	7236
2024	MINISTRY OF EDUCATION	16	MIN. OF EDUCATION HQ	2023	REVISED	7257
2024	MINISTRY OF EDUCATION	16	MIN. OF EDUCATION HQ	2024	ESTIMATE	7177
2024	MINISTRY OF EDUCATION	17	DEPT. OF EDUCATION	2022	ACTUAL	106229
2024	MINISTRY OF EDUCATION	17	DEPT. OF EDUCATION	2023	ORIGINAL	114872
2024	MINISTRY OF EDUCATION	17	DEPT. OF EDUCATION	2023	REVISED	120436
2024	MINISTRY OF EDUCATION	17	DEPT. OF EDUCATION	2024	ESTIMATE	117511
2024	MINISTRY OF EDUCATION	18	LIBRARIES & ARCHIVES	2022	ACTUAL	3003
2024	MINISTRY OF EDUCATION	18	LIBRARIES & ARCHIVES	2023	ORIGINAL	3085
2024	MINISTRY OF EDUCATION	18	LIBRARIES & ARCHIVES	2023	REVISED	3085
2024	MINISTRY OF EDUCATION	18	LIBRARIES & ARCHIVES	2024	ESTIMATE	3247
2024	MINISTRY OF EDUCATION	41	BERMUDA COLLEGE	2022	ACTUAL	14654
2024	MINISTRY OF EDUCATION	41	BERMUDA COLLEGE	2023	ORIGINAL	14654
2024	MINISTRY OF EDUCATION	41	BERMUDA COLLEGE	2023	REVISED	14654
2024	MINISTRY OF EDUCATION	41	BERMUDA COLLEGE	2024	ESTIMATE	14654
2024	MINISTRY OF HEALTH	21	MIN. OF HEALTH HQ	2022	ACTUAL	22964
2024	MINISTRY OF HEALTH	21	MIN. OF HEALTH HQ	2023	ORIGINAL	10309
2024	MINISTRY OF HEALTH	21	MIN. OF HEALTH HQ	2023	REVISED	9878
2024	MINISTRY OF HEALTH	21	MIN. OF HEALTH HQ	2024	ESTIMATE	10302
2024	MINISTRY OF HEALTH	22	DEPT. OF HEALTH	2022	ACTUAL	28518
2024	MINISTRY OF HEALTH	22	DEPT. OF HEALTH	2023	ORIGINAL	30429
2024	MINISTRY OF HEALTH	22	DEPT. OF HEALTH	2023	REVISED	27420
2024	MINISTRY OF HEALTH	22	DEPT. OF HEALTH	2024	ESTIMATE	31300
2024	MINISTRY OF HEALTH	24	HOSPITALS	2022	ACTUAL	162336
2024	MINISTRY OF HEALTH	24	HOSPITALS	2023	ORIGINAL	155159
2024	MINISTRY OF HEALTH	24	HOSPITALS	2023	REVISED	171682
2024	MINISTRY OF HEALTH	24	HOSPITALS	2024	ESTIMATE	155398
2024	MINISTRY OF HEALTH	91	HEALTH INSURANCE	2022	ACTUAL	2643
2024	MINISTRY OF HEALTH	91	HEALTH INSURANCE	2023	ORIGINAL	3343
2024	MINISTRY OF HEALTH	91	HEALTH INSURANCE	2023	REVISED	3343
2024	MINISTRY OF HEALTH	91	HEALTH INSURANCE	2024	ESTIMATE	3442
2024	MINISTRY OF ECONOMY & LABOUR	44	MIN. OF ECONOMY & LABOUR HQ	2022	ACTUAL	1401
2024	MINISTRY OF ECONOMY & LABOUR	44	MIN. OF ECONOMY & LABOUR HQ	2023	ORIGINAL	2044
2024	MINISTRY OF ECONOMY & LABOUR	44	MIN. OF ECONOMY & LABOUR HQ	2023	REVISED	2044
2024	MINISTRY OF ECONOMY & LABOUR	44	MIN. OF ECONOMY & LABOUR HQ	2024	ESTIMATE	1201
2024	MINISTRY OF ECONOMY & LABOUR	14	DEPT. OF STATISTICS	2022	ACTUAL	2029
2024	MINISTRY OF ECONOMY & LABOUR	14	DEPT. OF STATISTICS	2023	ORIGINAL	2360
2024	MINISTRY OF ECONOMY & LABOUR	14	DEPT. OF STATISTICS	2023	REVISED	2230
2024	MINISTRY OF ECONOMY & LABOUR	14	DEPT. OF STATISTICS	2024	ESTIMATE	2542
2024	MINISTRY OF ECONOMY & LABOUR	27	IMMIGRATION	2022	ACTUAL	5555
2024	MINISTRY OF ECONOMY & LABOUR	27	IMMIGRATION	2023	ORIGINAL	6138
2024	MINISTRY OF ECONOMY & LABOUR	27	IMMIGRATION	2023	REVISED	6292
2024	MINISTRY OF ECONOMY & LABOUR	27	IMMIGRATION	2024	ESTIMATE	6238
2024	MINISTRY OF ECONOMY & LABOUR	60	WORKFORCE DEVELOPMENT	2022	ACTUAL	3424
2024	MINISTRY OF ECONOMY & LABOUR	60	WORKFORCE DEVELOPMENT	2023	ORIGINAL	4114
2024	MINISTRY OF ECONOMY & LABOUR	60	WORKFORCE DEVELOPMENT	2023	REVISED	4114
2024	MINISTRY OF ECONOMY & LABOUR	60	WORKFORCE DEVELOPMENT	2024	ESTIMATE	4214
