BudgetBookVersion	Ministry	HeadNumber	HeadName	BudgetYear	DataVersion	DataValue
1992	MINISTRY OF HEALTH, SOCIAL SERVICES AND HOUSING	24	HOSPITALS	1991	ORIGINAL	698
1992	MINISTRY OF HEALTH, SOCIAL SERVICES AND HOUSING	24	HOSPITALS	1991	REVISED	850
1992	MINISTRY OF HEALTH, SOCIAL SERVICES AND HOUSING	24	HOSPITALS	1992	ESTIMATE	201
1992	MINISTRY OF HEALTH, SOCIAL SERVICES AND HOUSING	25	PRISIONS AND SENIOR TRANINING SCHOOLS	1990	ACTUAL	1289
1992	MINISTRY OF HEALTH, SOCIAL SERVICES AND HOUSING	25	PRISIONS AND SENIOR TRANINING SCHOOLS	1991	ORIGINAL	13050
1992	MINISTRY OF HEALTH, SOCIAL SERVICES AND HOUSING	25	PRISIONS AND SENIOR TRANINING SCHOOLS	1991	REVISED	14977
1992	MINISTRY OF HEALTH, SOCIAL SERVICES AND HOUSING	25	PRISIONS AND SENIOR TRANINING SCHOOLS	1992	ESTIMATE	9784
1992	MINISTRY OF LABOUR, HOME AFFAIRS	06	DEFENCE	1990	ACTUAL	48
1992	MINISTRY OF LABOUR, HOME AFFAIRS	06	DEFENCE	1991	ORIGINAL	56
1992	MINISTRY OF LABOUR, HOME AFFAIRS	06	DEFENCE	1991	REVISED	160
1992	MINISTRY OF LABOUR, HOME AFFAIRS	06	DEFENCE	1992	ESTIMATE	105
1992	MINISTRY OF LABOUR, HOME AFFAIRS	07	POLICE	1990	ACTUAL	471
1992	MINISTRY OF LABOUR, HOME AFFAIRS	07	POLICE	1991	ORIGINAL	456
1992	MINISTRY OF LABOUR, HOME AFFAIRS	07	POLICE	1991	REVISED	959
1992	MINISTRY OF LABOUR, HOME AFFAIRS	07	POLICE	1992	ESTIMATE	872
1992	MINISTRY OF LABOUR, HOME AFFAIRS	27	IMMIGRATION	1990	ACTUAL	0
1992	MINISTRY OF LABOUR, HOME AFFAIRS	27	IMMIGRATION	1991	ORIGINAL	126
1992	MINISTRY OF LABOUR, HOME AFFAIRS	27	IMMIGRATION	1991	REVISED	126
1992	MINISTRY OF LABOUR, HOME AFFAIRS	27	IMMIGRATION	1992	ESTIMATE	69
1992	MINISTRY OF LABOUR, HOME AFFAIRS	29	REGISTRY GENERAL	1990	ACTUAL	6
1992	MINISTRY OF LABOUR, HOME AFFAIRS	29	REGISTRY GENERAL	1991	ORIGINAL	0
1992	MINISTRY OF LABOUR, HOME AFFAIRS	29	REGISTRY GENERAL	1991	REVISED	35
1992	MINISTRY OF LABOUR, HOME AFFAIRS	29	REGISTRY GENERAL	1992	ESTIMATE	0
1992	MINISTRY OF LABOUR, HOME AFFAIRS	44	MINISTRY OF LABOUT AND HOME AFFAIRS HQ	1990	ACTUAL	0
1992	MINISTRY OF LABOUR, HOME AFFAIRS	44	MINISTRY OF LABOUT AND HOME AFFAIRS HQ	1991	ORIGINAL	0
1992	MINISTRY OF LABOUR, HOME AFFAIRS	44	MINISTRY OF LABOUT AND HOME AFFAIRS HQ	1991	REVISED	0
1992	MINISTRY OF LABOUR, HOME AFFAIRS	44	MINISTRY OF LABOUT AND HOME AFFAIRS HQ	1992	ESTIMATE	10
1992	MINISTRY OF LABOUR, HOME AFFAIRS	45	FIRE SERVICES	1990	ACTUAL	265
1992	MINISTRY OF LABOUR, HOME AFFAIRS	45	FIRE SERVICES	1991	ORIGINAL	445
1992	MINISTRY OF LABOUR, HOME AFFAIRS	45	FIRE SERVICES	1991	REVISED	647
1992	MINISTRY OF LABOUR, HOME AFFAIRS	45	FIRE SERVICES	1992	ESTIMATE	265
1992	MINISTRY OF TELECOMMUNICATIONS	46	TELECOMMUNICATIONS	1990	ACTUAL	0
1992	MINISTRY OF TELECOMMUNICATIONS	46	TELECOMMUNICATIONS	1991	ORIGINAL	19
1992	MINISTRY OF TELECOMMUNICATIONS	46	TELECOMMUNICATIONS	1991	REVISED	19
1992	MINISTRY OF TELECOMMUNICATIONS	46	TELECOMMUNICATIONS	1992	ESTIMATE	17
1992	MINISTRY OF ENVIRONMENT	32	DEPARTMENT OF PLANNING	1990	ACTUAL	0
1992	MINISTRY OF ENVIRONMENT	32	DEPARTMENT OF PLANNING	1991	ORIGINAL	25
1992	MINISTRY OF ENVIRONMENT	32	DEPARTMENT OF PLANNING	1991	REVISED	25
1992	MINISTRY OF ENVIRONMENT	32	DEPARTMENT OF PLANNING	1992	ESTIMATE	24
1992	MINISTRY OF ENVIRONMENT	37	AGRICULTURE, FISHRIES AND PARKS	1990	ACTUAL	260
1992	MINISTRY OF ENVIRONMENT	37	AGRICULTURE, FISHRIES AND PARKS	1991	ORIGINAL	1181
1992	MINISTRY OF ENVIRONMENT	37	AGRICULTURE, FISHRIES AND PARKS	1991	REVISED	1181
1992	MINISTRY OF ENVIRONMENT	37	AGRICULTURE, FISHRIES AND PARKS	1992	ESTIMATE	727
1992	MINISTRY OF ENVIRONMENT	50	MINISTRY OF ENVIRONMENT HQ	1990	ACTUAL	4841
1992	MINISTRY OF ENVIRONMENT	50	MINISTRY OF ENVIRONMENT HQ	1991	ORIGINAL	5900
1992	MINISTRY OF ENVIRONMENT	50	MINISTRY OF ENVIRONMENT HQ	1991	REVISED	900
1992	MINISTRY OF ENVIRONMENT	50	MINISTRY OF ENVIRONMENT HQ	1992	ESTIMATE	1601
1992	MINISTRY OF TOURISM	33	DEPARTMENT OF TOURSIM	1990	ACTUAL	14
1992	MINISTRY OF TOURISM	33	DEPARTMENT OF TOURSIM	1991	ORIGINAL	73
1992	MINISTRY OF TOURISM	33	DEPARTMENT OF TOURSIM	1991	REVISED	73
1992	MINISTRY OF TOURISM	33	DEPARTMENT OF TOURSIM	1992	ESTIMATE	0
1992	MINISTRY OF TRANSPORT	30	MARINE AND PORTS SERVICES	1990	ACTUAL	5179
1992	MINISTRY OF TRANSPORT	30	MARINE AND PORTS SERVICES	1991	ORIGINAL	110
1992	MINISTRY OF TRANSPORT	30	MARINE AND PORTS SERVICES	1991	REVISED	380
1992	MINISTRY OF TRANSPORT	30	MARINE AND PORTS SERVICES	1992	ESTIMATE	122
1992	MINISTRY OF TRANSPORT	31	CIVIL AVIATION	1990	ACTUAL	861
1992	MINISTRY OF TRANSPORT	31	CIVIL AVIATION	1991	ORIGINAL	650
1992	MINISTRY OF TRANSPORT	31	CIVIL AVIATION	1991	REVISED	650
1992	MINISTRY OF TRANSPORT	31	CIVIL AVIATION	1992	ESTIMATE	892
1992	MINISTRY OF TRANSPORT	34	TRANSPORT CONTROL DEPT.	1990	ACTUAL	13
1992	MINISTRY OF TRANSPORT	34	TRANSPORT CONTROL DEPT.	1991	ORIGINAL	17
1992	MINISTRY OF TRANSPORT	34	TRANSPORT CONTROL DEPT.	1991	REVISED	17
1992	MINISTRY OF TRANSPORT	34	TRANSPORT CONTROL DEPT.	1992	ESTIMATE	29
1992	MINISTRY OF TRANSPORT	35	PUBLIC TRANSPORTATION DEPT.	1990	ACTUAL	1081
1992	MINISTRY OF TRANSPORT	35	PUBLIC TRANSPORTATION DEPT.	1991	ORIGINAL	940
1992	MINISTRY OF TRANSPORT	35	PUBLIC TRANSPORTATION DEPT.	1991	REVISED	1028
1992	MINISTRY OF TRANSPORT	35	PUBLIC TRANSPORTATION DEPT.	1992	ESTIMATE	813
1992	MINISTRY OF TRANSPORT	48	TRANSPORT HQ	1990	ACTUAL	0
1992	MINISTRY OF TRANSPORT	48	TRANSPORT HQ	1991	ORIGINAL	0
1992	MINISTRY OF TRANSPORT	48	TRANSPORT HQ	1991	REVISED	0
1992	MINISTRY OF TRANSPORT	48	TRANSPORT HQ	1992	ESTIMATE	7
1992	MINISTRY OF WORKS AND ENGINEEING	36	WORKS AND ENGINEERING	1990	ACTUAL	11167
1992	MINISTRY OF WORKS AND ENGINEEING	36	WORKS AND ENGINEERING	1991	ORIGINAL	29617
1992	MINISTRY OF WORKS AND ENGINEEING	36	WORKS AND ENGINEERING	1991	REVISED	19118
1992	MINISTRY OF WORKS AND ENGINEEING	36	WORKS AND ENGINEERING	1992	ESTIMATE	11771
1992	MINISTRY OF YOUTH, SPORT AND RECREATION	20	YOUTH, SPROT AND RECREATION	1990	ACTUAL	616
1992	MINISTRY OF YOUTH, SPORT AND RECREATION	20	YOUTH, SPROT AND RECREATION	1991	ORIGINAL	2677
1992	MINISTRY OF YOUTH, SPORT AND RECREATION	20	YOUTH, SPROT AND RECREATION	1991	REVISED	209
1992	MINISTRY OF YOUTH, SPORT AND RECREATION	20	YOUTH, SPROT AND RECREATION	1992	ESTIMATE	334
1994	NON-MINISTRY DEPARTMENTS	01	GOVERNOR & STAFF	1991	ACTUAL	0
