BudgetBookVersion	AnalysisGroup	HeadNumber	RevenueDescription	BudgetYear	DataVersion	DataValue
2024/25	FEES, PERMITS & LICENSES	39	COMPANIES LICENSES	2024/25	ESTIMATE	958
2024/25	FEES, PERMITS & LICENSES	79	PLANT PRODUCTION & MARKETING CTRE	2022/23	ACTUAL	182
2024/25	FEES, PERMITS & LICENSES	79	PLANT PRODUCTION & MARKETING CTRE	2023/24	ORIGINAL	216
2024/25	FEES, PERMITS & LICENSES	79	PLANT PRODUCTION & MARKETING CTRE	2023/24	REVISED	180
2024/25	FEES, PERMITS & LICENSES	79	PLANT PRODUCTION & MARKETING CTRE	2024/25	ESTIMATE	216
2024/25	FEES, PERMITS & LICENSES	89	TELECOMMUNICATIONS RECEIPTS	2022/23	ACTUAL	18757
2024/25	FEES, PERMITS & LICENSES	89	TELECOMMUNICATIONS RECEIPTS	2023/24	ORIGINAL	17098
2024/25	FEES, PERMITS & LICENSES	89	TELECOMMUNICATIONS RECEIPTS	2023/24	REVISED	17126
2024/25	FEES, PERMITS & LICENSES	89	TELECOMMUNICATIONS RECEIPTS	2024/25	ESTIMATE	17171
2024/25	OTHER RECEIPTS	03	FINES AND FORFEITURES	2022/23	ACTUAL	2758
2024/25	OTHER RECEIPTS	03	FINES AND FORFEITURES	2023/24	ORIGINAL	3230
2024/25	OTHER RECEIPTS	03	FINES AND FORFEITURES	2023/24	REVISED	2385
2024/25	OTHER RECEIPTS	03	FINES AND FORFEITURES	2024/25	ESTIMATE	2711
2024/25	OTHER RECEIPTS	11	INTEREST ON DEPOSITS	2022/23	ACTUAL	8036
2024/25	OTHER RECEIPTS	11	INTEREST ON DEPOSITS	2023/24	ORIGINAL	750
2024/25	OTHER RECEIPTS	11	INTEREST ON DEPOSITS	2023/24	REVISED	3500
2024/25	OTHER RECEIPTS	11	INTEREST ON DEPOSITS	2024/25	ESTIMATE	2000
2024/25	OTHER RECEIPTS		OTHER REVENUE	2022/23	ACTUAL	42964
2024/25	OTHER RECEIPTS		OTHER REVENUE	2023/24	ORIGINAL	16086
2024/25	OTHER RECEIPTS		OTHER REVENUE	2023/24	REVISED	13956
2024/25	OTHER RECEIPTS		OTHER REVENUE	2024/25	ESTIMATE	15765
2023/24	TAXES & DUTIES	12	CUSTOMS DUTY	2021/22	ACTUAL	224511
2023/24	TAXES & DUTIES	12	CUSTOMS DUTY	2022/23	ORIGINAL	228216
2023/24	TAXES & DUTIES	12	CUSTOMS DUTY	2022/23	REVISED	224215
2023/24	TAXES & DUTIES	12	CUSTOMS DUTY	2023/24	ESTIMATE	227264
2023/24	TAXES & DUTIES	27	SALE OF LAND TO NON-BERMUDIANS	2021/22	ACTUAL	9950
2023/24	TAXES & DUTIES	27	SALE OF LAND TO NON-BERMUDIANS	2022/23	ORIGINAL	8000
2023/24	TAXES & DUTIES	27	SALE OF LAND TO NON-BERMUDIANS	2022/23	REVISED	6000
2023/24	TAXES & DUTIES	27	SALE OF LAND TO NON-BERMUDIANS	2023/24	ESTIMATE	6500
2023/24	TAXES & DUTIES	29	TIMESHARING TAX	2021/22	ACTUAL	0
2023/24	TAXES & DUTIES	29	TIMESHARING TAX	2022/23	ORIGINAL	0
2023/24	TAXES & DUTIES	29	TIMESHARING TAX	2022/23	REVISED	0
2023/24	TAXES & DUTIES	29	TIMESHARING TAX	2023/24	ESTIMATE	0
